0.429050916413768, 2.9396300816478414e-11, 0, med
0.429050916413768, 3.216007650189948e-11, 0, up
0.429050916413768, 2.6569919823662982e-11, 0, low
0.29993821469659054, 2.9396300816478414e-11, 0, left
0.6238109639371103, 2.9396300816478414e-11, 0, right
0.9069788778935218, 2.511886431509582e-11, 1, med
0.9069788778935218, 3.1800871678800775e-11, 1, up
0.9069788778935218, 1.83406462401311e-11, 1, low
0.634045086482352, 2.511886431509582e-11, 1, left
1.3186858399428911, 2.511886431509582e-11, 1, right
1.9172798693003683, 3.109445339599664e-11, 2, med
1.9172798693003683, 3.440213263039752e-11, 2, up
1.9172798693003683, 2.7790888962986008e-11, 2, low
1.3186858399428911, 3.109445339599664e-11, 2, left
2.7426004578213674, 3.109445339599664e-11, 2, right
3.987555252388706, 2.8422255329482763e-11, 3, med
3.987555252388706, 3.1445678914097816e-11, 3, up
3.987555252388706, 2.5979700872256445e-11, 3, low
2.787595032781754, 2.8422255329482763e-11, 3, left
5.797635177047859, 2.8422255329482763e-11, 3, right
8.42936875319973, 2.6569919823662982e-11, 4, med
8.42936875319973, 2.9067965371321252e-11, 4, up
8.42936875319973, 2.4015288312744038e-11, 4, low
5.892750063294865, 2.6569919823662982e-11, 4, left
12.057911300193636, 2.6569919823662982e-11, 4, right
17.531386097747067, 2.511886431509582e-11, 5, med
17.531386097747067, 2.7790888962986008e-11, 5, up
17.531386097747067, 2.2450163704984624e-11, 5, low
12.255731070957205, 2.511886431509582e-11, 5, left
25.489447621276092, 2.511886431509582e-11, 5, right
37.05992991171826, 3.721617260914331e-11, 6, med
37.05992991171826, 4.0715155477896856e-11, 6, up
37.05992991171826, 3.363793045056351e-11, 6, low
25.907622590372924, 3.721617260914331e-11, 6, left
53.01290769813156, 3.721617260914331e-11, 6, right
78.34168943652254, 3.936606010385099e-11, 7, med
78.34168943652254, 4.5046238986088757e-11, 7, up
78.34168943652254, 3.363793045056351e-11, 7, low
53.88262725297571, 3.936606010385099e-11, 7, left
112.0649920522611, 3.936606010385099e-11, 7, right
162.93490595486398, 2.4838304745773544e-11, 8, med
162.93490595486398, 3.109445339599664e-11, 8, up
162.93490595486398, 1.83406462401311e-11, 8, low
113.90350873118571, 2.4838304745773544e-11, 8, left
233.07257058405168, 2.4838304745773544e-11, 8, right
484.74391657766415, 4.1640141354011416e-11, 9, med
484.74391657766415, 4.355363329857564e-11, 9, up
484.74391657766415, 2.2199411593691922e-11, 9, low
240.7827896060651, 4.1640141354011416e-11, 9, left
975.8864619995853, 4.1640141354011416e-11, 9, right
